Definition,Label
"Later victim, who was severely injured or wounded was taken to the hospital where he died",IPC_Section_302
lawyer raping and threatening a law student,IPC_Section_376
lodged an attempt to murder case against the deceased for opening fire at the police team,IPC_Section_307
lynch wiped out,IPC_Section_302
"man allegedly forced himself inside the house of a woman raped her at knife point, and then tried to kill her",IPC_Section_307_376
man allegedly killed his father,IPC_Section_302
man allegedly killed his father,IPC_Section_302
man allegedly murdering his wife by letting loose a cobra in her room,IPC_Section_302
man allegedly raped a girl,IPC_Section_376
man allegedly raping and impregnating his daughter,IPC_Section_376
man allegedly stabbed his niece suspected to be an attempted honour killing,IPC_Section_307
man allegedly thrashed his mother to death in an inebriated state,IPC_Section_302
"man allegedly throttled his wife and child to death, and later set the bodies or deadbodies ablaze",IPC_Section_302
man allegedly trying to kill his girlfriend,IPC_Section_307
man beheaded girl after she allegedly resisted his attempts to rape her,IPC_Section_302_376
man drowned his son and slit the throat of his daughter,IPC_Section_302
man enraged over his father bludgeoned his father to death,IPC_Section_302
man for allegedly raping a girl,IPC_Section_376
man for raping a girl and trying to kill her,IPC_Section_307_376
man for raping and murdering girl and set ablaze and she later succumbed to her burns at a hospital,IPC_Section_302_376
man gang rapes and murders mentally challenged girl with his 3 friends,IPC_Section_302_376
Man hammers daughter to death,IPC_Section_302
"man has killed his own mother, wife and 3 minor daughters",IPC_Section_302
man killed his mother and then setting her on fire,IPC_Section_302
"man killed his teenage daughter in cold blood, sacrifice",IPC_Section_302
man lured girl with sweets and raped her at his house,IPC_Section_376
man murdered his wife,IPC_Section_302
man on  attempting to murder a woman,IPC_Section_307
man on charges of raping a minor girl,IPC_Section_376
man raped the girl who was mute when she was sleeping in her house,IPC_Section_376
man rapes attempts to murder woman inside her home,IPC_Section_307_376
man rapes minor girl,IPC_Section_376
man raping his sisters classmate,IPC_Section_376
man shot dead his wife and stepson,IPC_Section_302
man then sexually assaulted her and threatened to kill her even tried to strangulate her,IPC_Section_307_376
man threw his neighbours 2 children off the roof of a building got injured after being thrown off the roof,IPC_Section_307
man was allegedly beaten to death by his 2 sons,IPC_Section_302
man was attacked with a knife over disputes,IPC_Section_307
man was beaten to death by the womans son,IPC_Section_302
man was behind the rape and murder of two children,IPC_Section_302_376
man was held for allegedly raping and murdering girl,IPC_Section_302_376
"man was held guilty murdering an elderly woman ,raping another woman",IPC_Section_302_376
man was murdered by a 3 member unidentified gang,IPC_Section_302
man was murdered by his friends husband,IPC_Section_302
man was murdered by his own son,IPC_Section_302
man was murdered by unidentified persons,IPC_Section_302
man was shot dead allegedly by a teenager,IPC_Section_302
man was shot dead allegedly by unidentified assailants,IPC_Section_302
man was stabbed to death,IPC_Section_302
man was stabbed to death by two persons,IPC_Section_302
man was stabbed to death in front of his wife and daughter,IPC_Section_302
man was thrashed and killed allegedly by his wife and mother-in-law,IPC_Section_302
man was thrashed by an employee of the hospital the man has been hospitalised,IPC_Section_307
manager on charges of cheating and raping an event manager,IPC_Section_376
men on charges of raping and attempting to murder a woman,IPC_Section_307_376
minor daughter who also sustained burn injuries in the incident is undergoing treatment at hospital,IPC_Section_307
minor girl has allegedly been raped when she was out in the fields to relieve herself,IPC_Section_376
minor girl was allegedly gang-raped by 11 men for 4 years threatened,IPC_Section_376
minor girl was allegedly raped,IPC_Section_376
minor girl was allegedly raped and murdered,IPC_Section_302_376
minor girl was allegedly raped by a man,IPC_Section_376
minor girl who was allegedly raped and then killed by her employer,IPC_Section_302_376
minor girls were allegedly raped by their cousin,IPC_Section_376
minor girls were allegedly raped by youths,IPC_Section_376
misconduct in the quarantine centres,IPC_Section_307
mixing poision with an intension to kill,IPC_Section_307
molestation and rape,IPC_Section_376
monk who is accused of raping of a pregnant woman and molesting another,IPC_Section_376
motive behind the killing,IPC_Section_302
murder and rape,IPC_Section_302_376
"murder and rape charges against the prime accused in the killing case, in connection with the killing of 2 women",IPC_Section_302_376
murder and rape of minors,IPC_Section_302_376
murder cases,IPC_Section_302
murder cases against,IPC_Section_302
murdered and rape,IPC_Section_302_376
murdering,IPC_Section_302
"neighbour of the victim, abducted her, took her to secluded place and raped her",IPC_Section_376
offences of Gang Rape,IPC_Section_376
One bullet had hit the friend,IPC_Section_307
owner allegedly raped a minor and subsequently strangled her to death,IPC_Section_302_376
owner was shot dead by unidentified assailants,IPC_Section_302
people accused in the rape and murder of a girl,IPC_Section_302_376
people accused of burning a woman alive after raping her,IPC_Section_302_376
perpetrators who brutally gang-raped and killed her,IPC_Section_302_376
person for allegedly raping a girl at his house,IPC_Section_376
person in connection with the alleged gang rape and murder of a woman whose body was found,IPC_Section_302_376
"Person intending to poison victim, purchases poison and mixes the same with food which remains in keeping of that person but fails to kill or poision victim",IPC_Section_307
person who involved in the rape and murder of a woman,IPC_Section_302_376
person who was also shot at by the accused confirmed that the people in the auto were carrying some house breaking equipment,IPC_Section_307
pointed gun at him with an intension to kill,IPC_Section_307
police officer commits rape,IPC_Section_376
prove that the act committed amounts to the offence of murder,IPC_Section_302
public servant commits rape on a woman,IPC_Section_376
pushed the person out of the moving bus,IPC_Section_307
rape,IPC_Section_376
rape  and attempt to murder he shot her with gun,IPC_Section_307_376
rape a minor girl,IPC_Section_376
rape and cheating,IPC_Section_376
rape and murder,IPC_Section_302_376
rape attempt to murder voluntarily causing hurt and criminal intimidation,IPC_Section_307_376
rape murder suspects,IPC_Section_302_376
rape of his teenage stepdaughter and attempt to murder by setting her ablaze or set her on fire by pouring petrol,IPC_Section_307_376
rape the girl When the girl resisted he stabbed her in the neck and stomach,IPC_Section_307_376
raped,IPC_Section_376
raped and bludgeoned to death,IPC_Section_302_376
raped and burnt alive to death,IPC_Section_302_376
raped and killed,IPC_Section_302_376
raped and murdered,IPC_Section_302_376
raped and strangled to death,IPC_Section_302_376
raped and tried to kill,IPC_Section_307_376
raped the girl and strangulated her to death,IPC_Section_302_376
raping,IPC_Section_376
raping a girl,IPC_Section_376
raping and attempting to murder,IPC_Section_307_376
raping and killing her but later girl died at the hospital,IPC_Section_302_376
raping and trying to stab her,IPC_Section_307_376
"raping, killing girl and her mother",IPC_Section_302_376
resulted in an employee being stabbed to death,IPC_Section_302
resulting in the death,IPC_Section_302
rushed to hospital and he died,IPC_Section_302
sale of adulterated drugs,IPC_Section_307
"Section 376 IPC, provides punishment for rape",IPC_Section_376
semi-naked body of girl was found dumped,IPC_Section_302_376
serious injuries suffered.,IPC_Section_307
session was intruded by some who threatened girls of rape and murder,IPC_Section_307_376
sexual intercourse,IPC_Section_376
sexual intercourse by a person in authority person being a public servant seduces or takes advantage of a woman,IPC_Section_376
sexual intercourse by the male or man upon his spouse or wife during separation,IPC_Section_376
sexually,IPC_Section_376
sexually assaulted ,IPC_Section_376
she has been raped several times by her stepfather,IPC_Section_376
she killed her husband,IPC_Section_302
she resisted to his advances two other men raped her,IPC_Section_376
she was physically exploited and raped by her father-in-law who strangulated her to hush up the matter,IPC_Section_302_376
she was thrown out of a running train,IPC_Section_307
shopkeeper which alleged man along his associates shot at him with a pistol,IPC_Section_307
shot dead,IPC_Section_302
shot dead by 4 motorcycle-borne assailants,IPC_Section_302
shot him dead while he was sleeping,IPC_Section_302
slashed throat killing,IPC_Section_302
smothering  children to death using a pillow,IPC_Section_302
someone had raped and attempt to seriously injure a woman,IPC_Section_307_376
spinal injury as she was allegedly thrashed by him each time,IPC_Section_307
spirited her away to a nearby room and raped her,IPC_Section_376
stabbed to death,IPC_Section_302
stabbed to death,IPC_Section_302
stabbed to death by unidentified assailants,IPC_Section_302
stabbed to death in a suspected case of honour killing,IPC_Section_302
stabbing and killing that caused death,IPC_Section_302
strangled to death,IPC_Section_302
student for firing at a city residence,IPC_Section_307
student has been battling for life after she was allegedly gang-raped and poisoned by 4 persons,IPC_Section_307_376
student of a school died after he was allegedly beaten up by a group of students in the school compound,IPC_Section_302
student of a school was allegedly raped by two school teachers,IPC_Section_376
student of college was sexually assaulted,IPC_Section_376
student on her way to a coaching centre here was forcibly carried away by 2 unidentified men to the banks of river Yamuna and gang raped,IPC_Section_376
student raped by an assistant professor,IPC_Section_376
student was allegedly abducted and raped by 3 youths ,IPC_Section_376
student was allegedly raped by 6 men for two days before being dumped in a forest,IPC_Section_376
student was allegedly raped by a lawyer and his accomplice inside his chamber,IPC_Section_376
student was found murdered ,IPC_Section_302
student was raped by a cab driver who lured her under the pretext of a birthday party,IPC_Section_376
suspect first raped her and  he suffocated her to death with a blanket,IPC_Section_302_376
"suspected case of honour killing, a woman was hacked to death allegedly by her father",IPC_Section_302
teacher of a government school allegedly raped a student,IPC_Section_376
teenage girl was raped in a car by 4 men,IPC_Section_376
the accused accepted that he had tried to kill the man,IPC_Section_307
the accused brother allegedly raped the minor girl,IPC_Section_376
the accused had allegedly stabbed his victim 3 times during the rape,IPC_Section_307_376
"the accused himself is HIV positive and had committed rape upon his stepdaughter, infecting her with the same life threatening disease",IPC_Section_307_376
The accused killed the woman by smashing her head with a stone,IPC_Section_302
the accused murdered the victims using a sharp-edged weapon over an altercation,IPC_Section_302
the accused slashed her throat killing her on the spot,IPC_Section_302
The accused stabbed victim on a road when he was going home,IPC_Section_307
the accused stabbed victim with a knife and then he died on the spot,IPC_Section_302
The autopsy report has confirmed murder and there was an attempt to rape her as well,IPC_Section_302_376
the body part where the injury is inflicted,IPC_Section_307
the body part where the injury is inflicted due to beating,IPC_Section_307
The criminal intent to be punishable must be shown by a person by doing some voluntary act or omission,IPC_Section_307
The deceased woman was murdered,IPC_Section_302
The doing of an act towards it,IPC_Section_307
the gangrape and murder of the girl allegedly strangled by another suspect,IPC_Section_302_376
The intention or knowledge of the accused,IPC_Section_307
the management or on the staff of a hospital commits rape on a woman in that hospital,IPC_Section_376
the mixing of poison in food with the intention of causing demise will be an offence even though no demise occurs,IPC_Section_307
The motive for the murder is still unknown and the killers are untraceable,IPC_Section_302
the murder was a fallout of a dispute between the accused and the victims over food,IPC_Section_302
The person fires the gun or shoots at the victim and by such firing or shooting he wounds victim,IPC_Section_307
the person got injured or wonded due to whipping,IPC_Section_307
The person tried or attempted to murder or kill the victim,IPC_Section_307
the person was severely wounded due to thrashing ,IPC_Section_307
the rape and murder case of a minor girl,IPC_Section_302_376
the rape and murder of girl,IPC_Section_302_376
The victim is currently in the hospital and her condition is critical,IPC_Section_307
"the woman alleged that the accused, who is a court staff, raped her inside a room of the avenue Court",IPC_Section_376
They assaulted the woman and rendered her unconscious following which the two accused allegedly raped her,IPC_Section_307_376
They gang-raped and tried to kill the woman,IPC_Section_307_376
They later gang raped her,IPC_Section_376
they took the girl and raped her before strangulating her to death and dumping her body or deadbody after putting it in a bag,IPC_Section_302_376
they took turns to rape her,IPC_Section_376
they took turns to rape her and they poisoned her,IPC_Section_307_376
thrashed and killed allegedly,IPC_Section_302
throttled his wife and two children,IPC_Section_302
tribal woman was allegedly raped by 3 men at a forest,IPC_Section_376
tried to kill allegedly raping and raped her and setting on fire a woman,IPC_Section_307_376
try to enter without mandatory virus screening,IPC_Section_307
trying to,IPC_Section_307
trying to kill and rape,IPC_Section_307_376
two accused in a murder case within 24 hours of the incident and also recovered the crime weapon,IPC_Section_302
unidentified accused on charges of murder and rape,IPC_Section_302_376
victim shot by accused,IPC_Section_307
victim shot dead by accused,IPC_Section_302
victim was allegedly beaten to death,IPC_Section_302
victim was beaten to death,IPC_Section_302
"victim was gang raped and murdered, her body or dead body was dumped and burnt",IPC_Section_302_376
was allegedly beaten to death by 5 men,IPC_Section_302
was allegedly gang-raped by three people,IPC_Section_376
was killed allegedly,IPC_Section_302
was shot dead by unidentified assailants,IPC_Section_302
were attacked by,IPC_Section_307
were caught for murdering,IPC_Section_302
were injured by splinters of the bullet,IPC_Section_307
when the girl came out of her school they took her to an abandoned building nearby and allegedly raped her,IPC_Section_376
"when the woman is living separately from her spouse under a decree of judicial separation, sexual intercourse without her consent",IPC_Section_376
while committing rape causes grievous bodily harm or maims or disfigures or endangers the life of a woman,IPC_Section_376
while she was going to tuition the accused took her to his room and raped her,IPC_Section_376
who was attacked by,IPC_Section_307
Whoever commits rape,IPC_Section_376
witnessed the murder,IPC_Section_302
woman allegedly killed her spouse while he was sleeping,IPC_Section_302
woman allegedly poisoned her husband and daughter before consuming it herself resulting in the death of all 3 family members,IPC_Section_302
woman for allegedly murdered her brother after his body was found packed in a sack,IPC_Section_302
